Location,Date,record,Battery,Logger.Temp,NDVIDownRed,NDVIDownNIR,NDVIUpRed,NDVIUpNIR,NDVI,PRIDown532,PRIDown570,PRIUp532,PRIUp570,PRI,TempK,TempC,SWin,SWout,SWnet,LWin,LWout,LWnet,NetRad,Albedo,IR.BodyT.C,IR.TargetT.C
cm,date,record,Volt,Degree,Logger.Temp,NDVIDownRed,NDVIDownNIR,NDVIUpRed,NDVIUpNIR,NDVI,PRIDown532,PRIDown570,PRIUp532,PRIUp570,PRI,Degree in K,Degree in C,SWin,SWout,SWnet,LWin,LWout,LWnet,NetRad,Albedo,IR.BodyT.C,IR.TargetT.C

500,"2016-03-11 15:03:54",2624,12.08,16.19,2,0.012,0.013,0.6280001,0.399,0.261,0.0071,0.0072,0.6413,0.6189,-0.025,286.5307,13.38072,471.5375,55.48957,416.0479,253.1357,386.0591,-132.9234,283.1245,0.117678,13.51,13.62

500,"2016-03-11 15:05:42",2627,12.07,16.07,3,0.011,0.013,0.6230001,0.379,0.32,0.0074,0.007,0.634,0.6129999,0.011,286.3413,13.19133,466.1423,53.82132,412.321,252.1263,382.351,-130.2247,282.0963,0.1154611,13.38,13.29

1500,"2016-03-11 15:07:12",2630,12.09,15.97,4,0.012,0.015,0.633,0.395,0.334,0.0095,0.0093,0.6521,0.6281,-0.008,286.3413,13.19133,474.9287,54.55973,420.369,249.3173,379.9053,-130.588,289.781,0.1148798,13.55,13.25

2500,"2016-03-11 15:09:18",2633,12.06,15.82,5,0.009,0.022,0.6370001,0.398,0.593,0.0068,0.0074,0.652,0.6297,-0.06,286.1729,13.02293,475.8536,51.71551,424.1381,247.2297,378.0818,-130.8521,293.286,0.1086795,13.56,12.29

3500,"2016-03-11 15:11:38",2636,12.06,15.68,6,0.009,0.011,0.639,0.397,0.326,0.0057,0.0063,0.6565,0.6346,-0.067,286.0887,12.93877,480.0156,52.20778,427.8079,247.4635,379.2369,-131.7734,296.0344,0.1087627,13.6,12.12

500,"2016-03-18 13:16:28",2639,12.08,9.95,1,0.009,0.011,0.324,0.257,0.213,0.0081,0.0076,0.4212,0.4046,0.012,280.9508,7.800781,253.9581,29.07117,224.887,306.9617,361.4482,-54.48643,170.4005,0.1144723,7.594,9.26

500,"2016-03-18 13:18:16",2642,12.07,9.91,2,0.01,0.012,0.347,0.273,0.208,0.0071,0.0076,0.4454,0.4321,-0.049,280.9514,7.801437,272.7642,30.98555,241.7786,307.1352,362.8007,-55.66554,186.1131,0.1135983,7.684,9.84

